protein1,protein2,label
Q9Y230,Q9Y265,Positive
Q9Y230,P25490,Positive
Q6NUM6,Q6UXD1,Negative
Q6NUM6,Q8NGI4,Negative
P0DJR0,Q9H1E1,Negative
P0DJR0,O75489,Negative
P0DJR0,Q9NS82,Negative
P0DJR0,A0A096LNP1,Negative
Q9UG63,Q9NWQ4,Negative
Q9UG63,Q9NRD1,Negative
P49354,P49356,Positive
P49354,P55773,Negative
P49354,Q5HYI7,Negative
P49354,P05019,Negative
P49354,P41236,Negative
O75496,Q9H211,Positive
O75496,D6RGH6,Positive
O75496,Q06124,Positive
O75496,Q8NDP4,Positive
O75496,Q06250,Negative
O75496,O95747,Negative
O75496,Q9BYN0,Negative
Q9Y6A4,Q8N2M8,Positive
Q9Y6A4,Q9Y4E8,Negative
Q9UPR0,H3BR10,Negative
Q9Y5F6,Q96GI7,Negative
Q9Y5F6,Q6ZRG5,Negative
Q9Y5F6,Q6RUI8,Negative
Q9Y5F0,P26715,Negative
Q9Y5F1,Q00535,Negative
Q9Y5F1,P46778,Negative
Q8IXH8,Q58FG0,Negative
Q8IXH8,P41146,Negative
Q9Y5F3,O14931,Negative
Q9Y5F3,P62955,Negative
Q9Y5F3,Q9Y3D5,Negative
Q8IXH6,P09871,Negative
Q8IXH6,P23297,Negative
Q8IXH6,Q969X1,Negative
P08240,P54107,Negative
Q9Y5F8,Q6ZTW0,Negative
Q9Y5F8,B1ANY3,Negative
Q9Y5F9,Q8IY42,Negative
P02728,Q16048,Negative
P02728,Q9UKJ0,Negative
P02728,O95376,Negative
P02728,O76090,Negative
P02728,Q53FD0,Negative
Q96M29,O95429,Positive
Q96M29,Q2WGJ6,Positive
Q96M29,O75360,Positive
Q96M29,O43711,Positive
Q96M29,Q6UX27,Negative
Q96M29,O15528,Negative
Q9NX40,P17544,Positive
Q9NX40,Q99726,Positive
Q9NX40,Q5SV17,Negative
Q8IUH8,Q8TB68,Negative
Q9NX46,Q9BR09,Negative
Q9NX46,Q6UXB0,Negative
Q9NX46,Q9NVX0,Negative
Q9NX46,O60779,Negative
Q9NX47,O43583,Positive
Q9NX47,Q969F0,Positive
Q9NX47,P0CG48,Positive
Q9NX47,Q96B02,Positive
P38936,P78396,Positive
P38936,P20248,Positive
P38936,P24385,Positive
P38936,P30279,Positive
P38936,P30281,Positive
P38936,P24864,Positive
P38936,O96020,Positive
P38936,O75419,Positive
P38936,Q99741,Positive
P38936,P06493,Positive
P38936,O94921,Positive
P38936,P24941,Positive
P38936,Q00526,Positive
P38936,P11802,Positive
P38936,Q00535,Positive
P38936,Q9UKT9,Positive
P38936,Q15323,Positive
P38936,Q9UHC7,Positive
P38936,Q9BQ15,Positive
P38936,P12004,Positive
P38936,Q96FS4,Positive
P38936,P63208,Positive
P38936,Q13309,Positive
P38936,P15884,Positive
P38936,Q8IYF3,Positive
P38936,P04637,Positive
P38936,Q13077,Positive
P38936,Q9BYV2,Positive
Q8IUH3,Q9NW38,Positive
Q8IUH3,Q9Y316,Positive
Q8IUH3,Q13077,Positive
Q8IUH3,Q99757,Positive
Q8IUH5,Q9NP61,Positive
Q8IUH5,P15336,Positive
Q8IUH5,P68104,Positive
Q8IUH5,P60228,Positive
Q8IUH5,Q9UHY8,Positive
Q8IUH5,Q9H4A5,Positive
Q8IUH5,P51674,Positive
Q8IUH5,P49840,Positive
Q8IUH5,Q9NWB7,Positive
Q8IUH5,O60259,Positive
Q8IUH5,Q16537,Positive
Q8IUH5,Q96DA2,Positive
Q8IUH5,O00161,Positive
Q8IUH5,P60880,Positive
Q8IUH5,Q7Z699,Positive
Q8IUH5,Q7Z698,Positive
Q8IUH5,O43597,Positive
Q8IUH5,Q9C004,Positive
Q8IUH5,Q9Y6W5,Positive
Q92911,A8MQ03,Positive
Q92911,Q7Z3S9,Positive
Q92911,A6NNP5,Negative
P0CJ92,Q9NRD0,Negative
P07305,Q8IYW5,Positive
P07305,P09493,Negative
P07305,O43570,Negative
P0CJ90,Q96JF6,Negative
P0CJ90,Q15835,Negative
P0CJ90,P58499,Negative
P07307,Q96G23,Positive
P07307,Q9UNK0,Positive
Q8WY64,Q9Y2B0,Positive
Q8WY64,Q8TD10,Positive
Q8WY64,Q8WWW0,Positive
Q8WY64,Q9Y3Q8,Positive
Q8WY64,O96008,Negative
Q8WY64,Q5T9L3,Negative
Q8WY64,P15621,Negative
H3BTG2,Q16568,Negative
H3BTG2,Q13137,Negative
H3BTG2,O43147,Negative
H3BTG2,Q9Y3F1,Negative
H3BTG2,O95502,Negative
Q6UWK7,Q6UXS9,Negative
Q6UWK7,Q9NTX5,Negative
Q6UWK7,Q9H1D9,Negative
P10966,Q96E93,Negative
P10966,P36776,Negative
P10966,Q9BYR4,Negative
P10966,Q9NYJ1,Negative
P10966,Q30KR1,Negative
Q4U2R6,P04035,Negative
Q4U2R6,Q9BUH8,Negative
Q4U2R6,Q6P435,Negative
Q16348,P29972,Positive
Q16348,P32242,Positive
Q16348,Q96LA5,Negative
Q16348,P41236,Negative
Q16348,P0CJ76,Negative
Q16348,P16389,Negative
O95985,Q9UL42,Positive
Q16676,O95045,Negative
Q16676,A2VDF0,Negative
Q16676,Q9H4I0,Negative
Q06418,Q9Y5K2,Positive
Q06418,P60410,Positive
Q06418,P60411,Positive
Q06418,Q9BYR5,Positive
Q06418,P26371,Positive
Q06418,Q99750,Positive
Q14863,P01135,Negative
Q14863,Q8NGX1,Negative
Q14863,Q6PIY7,Negative
Q86WK7,P01903,Negative
Q86WK9,Q9Y2B2,Negative
Q86WK9,Q6F5E7,Negative
Q86WK9,Q7L311,Negative
P10635,P17643,Negative
Q8NI08,O95166,Positive
Q8NI08,Q9H0R8,Positive
Q8NI08,P62955,Negative
Q06413,Q9H1R3,Positive
Q06413,P27482,Negative
Q06413,P59022,Negative
Q06413,Q92851,Negative
Q6P995,Q7RTU7,Negative
Q9H0B8,Q9BUT9,Negative
P10632,Q6UX07,Negative
P10632,Q9Y625,Negative
P10632,Q9BX67,Negative
Q6P996,Q5BJD5,Negative
Q6P996,O00198,Negative
Q9HC98,Q08117,Positive
Q9HC98,Q8IYA8,Positive
Q9HC98,Q9Y2V7,Positive
Q9HC98,Q9BPX1,Positive
Q9HC98,Q13422,Positive
Q9HC98,Q9UKT9,Positive
Q9HC98,Q0VD86,Positive
Q9HC98,Q15323,Positive
Q9HC98,Q6A162,Positive
Q9HC98,Q8TBB1,Positive
Q9HC98,Q9BRK4,Positive
Q9HC98,Q13526,Positive
Q9HC98,P15884,Positive
Q9HC98,P36406,Positive
Q9HC98,P14373,Positive
Q9HC98,P98170,Positive
Q9HC98,P51812,Negative
P16499,Q00688,Negative
P16499,P26378,Negative
P16499,Q8NGI1,Negative
Q9HC96,P18031,Negative
Q9HC97,Q14376,Negative
Q9HC97,Q96RS6,Negative
Q9HC97,A6NMZ5,Negative
Q14CN4,Q6A162,Positive
Q14CN4,Q8N5G0,Negative
Q14CN4,Q86YQ2,Negative
Q14CN4,O95965,Negative
Q14CN4,Q96BF6,Negative
O14718,Q9Y282,Negative
O14718,Q96CN7,Negative
O14718,Q9Y375,Negative
O14718,P62140,Negative
Q96HP8,A0A0U1RRE5,Negative
Q96HP8,P48147,Negative
Q96HP8,Q6UXD5,Negative
P0CI26,Q96S79,Negative
Q14CN2,P12980,Negative
O14713,Q6PIW4,Positive
O14713,O00522,Positive
O14713,P22392,Positive
Q9NVS2,Q8NC56,Negative
Q9NVS2,Q9UN30,Negative
Q9UH92,Q08117,Positive
Q9UH92,P60520,Positive
Q96F83,O43805,Negative
Q96F83,P59796,Negative
Q96F83,Q9NZU1,Negative
Q96F83,Q8NCV1,Negative
Q96F83,Q16690,Negative
P50458,Q8N0U6,Positive
P50458,Q6P597,Negative
P50458,P0DOX2,Negative
P50458,Q9NWZ8,Negative
Q96F85,Q9Y5P2,Negative
Q96F85,O75636,Negative
Q96F86,Q9UJ72,Positive
Q96F86,Q9NPI6,Positive
Q96F86,Q8IZD4,Positive
Q96F86,P26196,Positive
Q96F86,P26651,Positive
Q96F86,Q9H4T2,Negative
Q96F86,P30466,Negative
P50454,Q8IYX0,Negative
Q96A37,O95159,Negative
Q9UJY4,P35219,Positive
Q9UJY4,Q9NZD8,Positive
Q9UJY4,Q5T0U0,Negative
Q9UJY4,P0DMS8,Negative
Q9UJY4,P60827,Negative
Q9UJY4,P10720,Negative
Q9UJY5,Q8TAB5,Positive
Q9UJY5,Q9Y3C5,Positive
Q9UJY5,P0CG47,Positive
Q9UJY5,Q6B0K9,Negative
Q9UJY5,P35212,Negative
Q9UJY5,Q8IVJ1,Negative
Q9UJY5,Q96KJ9,Negative
Q6PKX4,Q6P1W5,Positive
Q6PKX4,Q8N6F8,Positive
Q6PKX4,Q93062,Positive
Q6PKX4,O75781,Negative
Q96A33,Q92985,Positive
Q96A33,P58753,Positive
Q96A33,Q86WV6,Positive
P50452,Q8N1K5,Negative
P50452,Q9Y3Q0,Negative
Q9UJY1,O95817,Positive
Q9UJY1,P02511,Positive
Q9UJY1,Q9UNI6,Positive
Q9UJY1,P04792,Positive
Q9UJY1,Q16082,Positive
Q9UJY1,O14558,Positive
Q9UJY1,Q9UBY9,Positive
Q9UJY1,Q2TAL8,Positive
Q9UJY1,Q6DKI7,Negative
Q9UJY1,Q96PD7,Negative
Q9NR64,Q9UBU2,Negative
Q9NR64,P05121,Negative
Q9NR61,P57105,Positive
Q9NR61,P00742,Negative
Q96AY2,Q96NY9,Positive
Q96AY2,P0CG40,Negative
Q96AY2,Q4VXF1,Negative
Q03405,P03950,Positive
Q03405,P00749,Positive
A6NC05,Q1ZZU3,Negative
A6NC05,Q3ZCT1,Negative
A6NC05,Q5TFE4,Negative
A6NC05,Q9NX62,Negative
Q14765,O43504,Positive
Q14765,Q8NGB8,Negative
Q14765,Q8WZ33,Negative
Q9NUL7,Q99808,Negative
Q9NUL7,P56279,Negative
Q9NUL7,Q8N9N5,Negative
Q9NUL7,D6RBM5,Negative
Q9NUL7,Q6ZSM3,Negative
Q9NUL5,Q6PGQ1,Positive
Q9NUL5,Q96EV8,Positive
Q9NUL5,Q13422,Positive
Q9NUL5,Q6A162,Positive
Q9NUL5,P60370,Positive
Q9NUL5,P60409,Positive
Q9NUL5,P60410,Positive
Q9NUL5,P60411,Positive
Q9NUL5,Q9BYR9,Positive
Q9NUL5,Q9BQ66,Positive
Q9NUL5,Q9BYR5,Positive
Q9NUL5,Q9BYR2,Positive
Q9NUL5,P26371,Positive
Q9NUL5,Q9BYQ4,Positive
Q9NUL5,Q9BRK4,Positive
Q9NUL5,P43355,Positive
Q9NUL5,Q99750,Positive
Q9NUL5,P50222,Positive
Q9NUL5,Q7Z3S9,Positive
Q9NUL5,O43597,Positive
Q9NUL5,Q9Y2D8,Positive
Q9NUL5,P15884,Positive
Q9NUL5,P54274,Positive
Q9NUL5,Q13077,Positive
Q9NUL5,Q03936,Negative
Q9NUL5,Q13470,Negative
Q9NUL5,A6NHA9,Negative
Q86UN3,Q6ZQV5,Negative
Q86UN3,Q8N9V6,Negative
Q9NUL3,P19525,Positive
Q9NUL3,Q86YP4,Negative
Q9NUL3,Q96MW7,Negative
B6SEH8,A1L157,Negative
Q5T4W7,O60609,Positive
O95857,Q8N0Z8,Negative
O95857,O15173,Negative
Q9P2S6,Q01523,Negative
Q86YL5,A5PLN7,Negative
Q86YL5,Q9H9R9,Negative
Q86YL5,Q9UIL4,Negative
Q86YL5,Q9BX97,Negative
Q7Z2F6,Q2TAM9,Negative
Q7Z2F6,Q9BRX5,Negative
Q6S5H5,P16581,Negative
Q6S5H5,Q13702,Negative
Q6S5H5,Q14549,Negative
Q504Y3,O43747,Negative
Q96EN9,Q99750,Positive
Q96EN9,Q13371,Negative
Q96EN9,P31949,Negative
Q96EN9,Q9UJ83,Negative
Q9ULC0,Q8N535,Negative
P34931,O95429,Positive
P34931,P04637,Positive
P34931,Q9Y2G2,Negative
P34931,P04554,Negative
P34931,P30483,Negative
Q96C57,P54274,Positive
Q96C57,P01562,Negative
Q96C57,Q7L523,Negative
Q96C57,B3KS81,Negative
Q96C57,Q4J6C6,Negative
Q9ULC4,O43583,Positive
Q9ULC4,Q8NG94,Negative
Q9ULC4,Q9NQZ7,Negative
Q9ULC4,Q7Z6M4,Negative
Q9ULC5,Q5VWM6,Negative
Q9ULC5,Q9Y375,Negative
Q9ULC5,Q9UNW8,Negative
P51149,Q96NA2,Positive
P51149,Q9GZT3,Negative
P51148,Q8NEU8,Positive
Q9Y2S6,S4R3P1,Negative
Q9Y2S6,Q14511,Negative
Q9Y2S6,Q5VU92,Negative
Q9Y2S6,Q9UKL6,Negative
Q9Y2S7,P13196,Positive
Q9Y2S7,Q8NGN0,Negative
Q9Y2S7,B1AL88,Negative
Q9H1X1,Q9NP66,Positive
Q9H1X1,Q8ND90,Positive
Q9H1X1,P30968,Negative
Q9H1X1,Q5HYK3,Negative
Q9H1X1,Q16836,Negative
Q9Y2S2,B8ZZ34,Negative
Q9Y2S2,P24278,Negative
Q16777,Q13882,Negative
Q16777,P01138,Negative
Q16777,Q9BZM4,Negative
Q16777,Q13765,Negative
Q8N7R0,Q96LX7,Negative
Q8N7R0,Q9Y5B8,Negative
Q8N7R0,P21397,Negative
Q8N7R0,Q13148,Negative
Q8N7R0,Q07812,Negative
A4GXA9,A6NDV4,Negative
A4GXA9,A0A0C4DH42,Negative
A4GXA9,Q9H2A2,Negative
A4GXA9,P78333,Negative
A8MTL3,Q12996,Negative
A8MTL3,Q5SSQ6,Negative
A8MTL3,Q7Z7H3,Negative
Q15293,P54253,Positive
Q15293,O60443,Negative
Q15293,Q9HCN3,Negative
Q15126,P31946,Negative
Q15126,P30479,Negative
Q15126,P21399,Negative
Q15126,O60282,Negative
Q15126,P17020,Negative
Q2KHT3,P0C7T4,Negative
Q2KHT3,Q7Z7K0,Negative
P30050,P27824,Positive
P08247,Q96E29,Positive
P08247,Q16880,Negative
P08247,Q15916,Negative
P08247,Q13368,Negative
P08247,Q6ZNI0,Negative
P11940,P06730,Positive
P11940,Q86U42,Positive
P11940,Q9H074,Positive
P11940,Q9BPZ3,Positive
P11940,P50616,Positive
P11940,Q14106,Positive
P11940,Q9UHF1,Negative
Q8N7R7,Q00536,Positive
Q8N7R7,Q9BRC7,Negative
Q8N7R7,P30520,Negative
Q8N7R7,P15880,Negative
Q8N7R7,Q8N4K4,Negative
Q9UMY1,O15235,Negative
Q9UMY1,P50453,Negative
Q9P0I2,Q8IWZ4,Negative
Q9P0I2,Q9Y5N1,Negative
Q9P0I2,Q8NA77,Negative
Q9P0I2,A8MTI9,Negative
Q05066,Q13474,Negative
P55795,O43347,Positive
P55795,Q96DH6,Positive
P55795,Q969V4,Positive
P55795,Q8N323,Negative
P55795,A8MU46,Negative
Q1W209,P81133,Negative
Q8WUM9,Q8IU54,Negative
Q8WUM9,Q96T54,Negative
Q9H0W7,C9JUS6,Negative
Q9H0W7,O43529,Negative
Q9H0W7,O43781,Negative
Q9H0W7,P0DN87,Negative
Q96JK4,O95967,Positive
Q96JK4,O14626,Negative
Q9UL33,Q9H2G9,Positive
Q9UL33,Q04864,Positive
Q9UL33,P15884,Positive
Q9UL33,O43617,Positive
Q9UL33,Q15654,Positive
Q9UL33,Q14213,Negative
Q9UL33,Q9NPE2,Negative
A0A0U1RR37,Q9BSI4,Negative
A0A0U1RR37,Q9BRQ0,Negative
Q03393,P38432,Positive
Q03393,Q8TBB1,Positive
Q03393,O00560,Positive
Q03393,Q9P2Z0,Positive
Q03393,P46977,Negative
Q03393,Q9BQN1,Negative
Q03393,Q8N5Y2,Negative
Q03393,Q8IV35,Negative
Q86V25,Q9NNX1,Negative
Q86V25,Q99645,Negative
Q86V25,P30443,Negative
Q96NZ1,Q13643,Positive
Q96NZ1,P48378,Positive
Q96NZ1,P00505,Negative
Q96NZ1,Q9H1R3,Negative
Q96NZ1,Q1ZYL8,Negative
Q96NZ1,Q9NVR2,Negative
Q96NZ1,Q14916,Negative
Q96NM4,O75031,Positive
Q96NM4,P05496,Negative
Q96NM4,A2AJT9,Negative
Q96NM4,Q9H2Z4,Negative
Q9Y468,P10412,Positive
Q9Y468,P68431,Positive
Q9Y468,P62805,Positive
Q9Y468,P12429,Negative
Q9Y468,A4D1U4,Negative
Q9Y468,Q6UWN0,Negative
Q9Y3M9,Q13137,Positive
Q9Y3M9,Q6NT76,Positive
Q9Y3M9,Q6A162,Positive
Q9Y3M9,P60409,Positive
Q9Y3M9,O14874,Negative
Q9Y3M9,P53365,Negative
Q5JXM2,P21127,Negative
Q5JXM2,Q3LI64,Negative
Q5JXM2,A8MWS1,Negative
Q8N3Z6,Q9H257,Positive
Q8N3Z6,P63279,Positive
Q8N3Z6,Q86XJ1,Negative
Q8N3Z6,Q8NHY0,Negative
Q9UHX1,Q96BM9,Positive
Q9UHX1,Q969J3,Positive
Q9UHX1,P24863,Positive
Q9UHX1,Q7Z7F0,Positive
Q9UHX1,Q9H204,Positive
Q9UHX1,Q15365,Positive
Q9UHX1,Q96I34,Positive
Q9UHX1,P54727,Positive
Q9UHX1,Q9UHR5,Positive
Q9UHX1,O00560,Positive
Q9UHX1,Q8IUQ4,Positive
Q9UHX1,Q05519,Positive
Q9UHX1,P26368,Positive
Q9UHX1,O60844,Positive
Q9Y3M2,Q96M91,Positive
Q9Y3M2,A1XBS5,Positive
Q9Y3M2,P62258,Positive
Q9Y3M2,O43169,Negative
Q9Y3M2,Q96GQ5,Negative
Q9Y3M2,Q8IYP9,Negative
Q9Y3M2,Q8NAP8,Negative
Q9Y463,P61962,Positive
Q9Y463,P46734,Positive
Q9Y463,Q9H0N5,Positive
Q9Y463,Q9Y3F1,Negative
O15217,Q96LR7,Positive
O15217,P09210,Positive
O15217,Q6P3V2,Negative
O15217,Q9UNI1,Negative
O15217,Q96QS1,Negative
O15217,Q1XH10,Negative
O15217,Q9HAU8,Negative
Q07108,P21453,Positive
Q07108,Q8WZ59,Positive
Q9Y466,Q8N6F1,Negative
A6NJI1,B1ATL7,Negative
A6NJI1,P61970,Negative
A6NJI1,P43119,Negative
A6NJI1,P31641,Negative
A6NJI1,Q8WZA6,Negative
Q5T124,Q08117,Positive
Q5T124,Q8IYR0,Positive
Q5T124,P06730,Positive
Q5T124,O60573,Positive
Q5T124,Q9H0I2,Positive
Q5T124,Q13131,Positive
Q5T124,O43741,Positive
Q5T124,P25786,Positive
Q5T124,O94955,Positive
Q5T124,Q9BWG6,Positive
Q5T124,Q9H788,Positive
Q5T124,Q12933,Positive
Q5T124,Q8N6Y0,Positive
Q86V24,Q9UKG1,Positive
Q86V24,A6NDX5,Negative
Q86V24,Q8NH94,Negative
Q86V24,P19835,Negative
Q8WUM0,Q9Y2S6,Negative
A6NJI9,Q9HAY2,Negative
A6NJI9,O60684,Negative
A6NJI9,Q6ZMI0,Negative
P20160,Q3SXM5,Negative
P20160,Q9NS61,Negative
P20160,Q9Y2X3,Negative
P20160,P82979,Negative
Q5SQ80,Q96PL2,Negative
Q15019,Q9H8W4,Positive
Q15019,Q8IYM1,Positive
Q15019,Q99719,Positive
Q15019,Q14141,Positive
Q15019,P29218,Negative
Q15019,Q6ZVN8,Negative
Q15019,P25100,Negative
Q9UM63,Q9BWT3,Negative
Q9UM63,P49755,Negative
Q9UM63,Q8N6I4,Negative
Q9UM63,P62304,Negative
Q12884,P01275,Positive
Q12884,P01282,Positive
Q12884,Q9H3H1,Negative
Q12884,Q9HAA7,Negative
Q12884,Q9BQE4,Negative
A4QN01,Q08ET2,Negative
A4QN01,Q01740,Negative
A4QN01,Q96LB3,Negative
A4QN01,Q96PI1,Negative
Q96S52,Q6A162,Positive
Q96S52,P60410,Positive
Q96S52,Q9BYQ4,Positive
Q96S52,Q7Z3S9,Positive
Q96S52,P11086,Negative
A5D8V7,O43463,Positive
A5D8V7,O14949,Negative
A5D8V7,P35268,Negative
A5D8V7,Q96BQ3,Negative
Q15012,Q8NGV5,Negative
Q15012,O95478,Negative
Q15013,Q9BT40,Positive
Q15013,Q13257,Positive
Q15013,Q13287,Positive
Q15013,Q15645,Positive
Q15013,O43829,Positive
Q15013,Q96ER3,Negative
Q15013,Q9Y223,Negative
Q15013,Q9NWS0,Negative
Q15013,Q9BV47,Negative
Q15013,Q8IUH3,Negative
Q7L0Y3,Q99714,Positive
Q7L0Y3,P21580,Negative
Q7L0Y3,Q8N819,Negative
Q7L0Y3,Q86WR7,Negative
Q96S55,P49005,Positive
Q96S55,Q9HCU8,Positive
Q96S55,Q9H0E2,Positive
Q96S55,Q8WYK2,Negative
Q9BTV4,Q8IUQ4,Positive
Q9BTV4,Q8NG77,Negative
Q9BTV4,Q96MX0,Negative
Q9BTV4,Q9C0C6,Negative
Q9BTV4,Q86YS3,Negative
Q9BTV5,P09237,Negative
Q9BTV5,Q96RQ3,Negative
Q9BTV5,Q9H209,Negative
Q9BTV5,Q7Z449,Negative
Q9BTV6,Q7RTV5,Negative
Q9BTV6,P10828,Negative
Q9BTV6,O75459,Negative
O15143,O15145,Positive
O15143,Q9HC73,Negative
O15143,Q8N428,Negative
O15144,Q9BR76,Positive
O15144,O75293,Negative
O15144,P55055,Negative
O15144,Q9H8H2,Negative
O15145,O15143,Positive
O15145,Q08379,Positive
O15145,O43365,Positive
O15145,O00401,Positive
O15145,Q9BT23,Negative
O15145,B4DU55,Negative
O15145,Q5VUJ5,Negative
O15145,O15156,Negative
P45973,Q13111,Positive
P45973,P84243,Positive
P45973,P68431,Positive
P45973,Q9NQS7,Positive
P45973,P28838,Positive
P45973,Q14739,Positive
P45973,Q5T3J3,Positive
P45973,Q9UIS9,Positive
P45973,Q9BWN1,Positive
P45973,Q9BQF6,Positive
P45973,Q5FBB7,Positive
P45973,O43463,Positive
P45973,Q13263,Positive
P45973,P55290,Negative
P45973,Q9BWX1,Negative
P45973,Q99583,Negative
P45973,Q9H841,Negative
Q5SZB4,Q8IYK8,Negative
Q5SZB4,Q96P26,Negative
Q5SZB4,Q9Y2X8,Negative
P09683,P07197,Negative
P09683,Q8N9Q2,Negative
P09683,Q8N1Q8,Negative
P09681,P48546,Positive
P09681,Q7Z3S9,Positive
P09681,O43765,Positive
P09681,Q8N4P2,Negative
P09681,Q8NES8,Negative
P09681,Q04727,Negative
P09681,Q13496,Negative
O15294,Q9H1M0,Positive
Q8TB73,Q96BH3,Negative
Q8NGK2,Q9HA64,Negative
Q8NGK2,Q5BIV9,Negative
Q8NGK5,Q86V42,Negative
Q9Y4I5,Q96PP9,Negative
Q8IVY1,P03372,Negative
Q8NGK6,P50549,Negative
Q8NGK6,Q9BY42,Negative
Q8N371,Q9UQM7,Negative
Q8N370,Q92764,Positive
Q8N370,Q07627,Positive
Q8N370,Q9Y2Y9,Negative
A6NGQ2,Q96DN6,Negative
Q8N377,Q9H7Y0,Negative
Q8N377,Q86XR2,Negative
Q8N377,O75071,Negative
Q8N377,P84085,Negative
Q8N377,A6NKN8,Negative
O95231,Q6P1W5,Positive
O95231,P78358,Positive
O95231,O75553,Positive
O95231,P59991,Positive
O95231,P60329,Positive
O95231,Q93062,Positive
O95231,Q96SF7,Positive
O95231,Q9Y458,Positive
P59942,Q6UWW9,Negative
P59942,Q9UKI2,Negative
Q6UXX9,P60372,Positive
Q6UXX9,P60409,Positive
Q6UXX9,P60411,Positive
Q6UXX9,Q9H8W4,Positive
Q6UXX9,P48788,Negative
Q6UXX9,A6NCI5,Negative
Q6UXX9,B7U540,Negative
Q9NUC0,P40616,Negative
Q03828,P08247,Negative
Q03828,P23677,Negative
Q8IY42,P60228,Positive
Q8IY42,Q9NX38,Positive
Q8IY42,Q9BUL8,Positive
Q8IY42,Q15165,Negative
Q8IY42,Q92903,Negative
Q8IY42,P0DOX3,Negative
Q8IY42,Q8TAB5,Negative
Q92769,Q9HCU9,Positive
Q92769,Q9UER7,Positive
Q92769,Q13547,Positive
Q92769,Q9UIS9,Positive
Q92769,Q13330,Positive
Q92769,P01106,Positive
Q92769,P06748,Positive
Q92769,P48382,Positive
Q92769,O95863,Positive
Q92769,Q9HD15,Positive
Q92769,O43463,Positive
Q92769,Q8N112,Negative
Q8IY47,Q9BQP9,Negative
Q8IY45,Q13562,Negative
Q8IY45,Q9BQ87,Negative
Q92947,Q8N954,Negative
Q9H2S6,Q9BSE2,Positive
Q9H2S6,Q00765,Negative
Q9H2S6,Q9NQ29,Negative
Q9H2S6,Q14392,Negative
Q9H2S6,O43869,Negative
Q92945,Q8N699,Negative
Q9H898,Q13618,Positive
Q9H898,Q13620,Positive
Q9H898,A8MWL7,Negative
Q9H898,Q86XN7,Negative
Q9H898,P35914,Negative
Q9H898,P13639,Negative
Q92764,Q9NX04,Positive
Q92764,P20138,Positive
Q92764,A6H8Z2,Positive
Q92764,Q8N370,Positive
Q92764,P17014,Negative
Q92764,Q2TAL6,Negative
Q7Z7B1,Q5SSJ5,Negative
Q7Z7B1,A8MV24,Negative
Q7Z7B1,O60353,Negative
P37231,Q00535,Positive
P37231,P10909,Positive
P37231,O60869,Positive
P37231,P19793,Positive
P37231,Q8WXA9,Negative
Q9NW68,Q8N554,Negative
Q9NW68,Q6ZUF6,Negative
Q9NW68,P81408,Negative
Q02410,Q9NRW1,Positive
Q02410,O15442,Negative
Q02410,Q8N2G6,Negative
Q99972,P10916,Positive
Q99972,P09486,Positive
Q99972,Q14515,Positive
Q99795,Q9NUX5,Positive
Q99795,P14210,Negative
Q99795,P43320,Negative
Q99795,P09017,Negative
Q99795,Q9NR50,Negative
Q9P104,Q9Y5H3,Negative
Q9P107,A2RUU4,Negative
Q05513,P31749,Positive
Q05513,O95999,Positive
Q05513,Q07021,Positive
Q05513,Q9Y624,Positive
Q05513,P14598,Positive
Q05513,Q9NPB6,Positive
Q05513,Q9BYG5,Positive
Q05513,Q9BYG4,Positive
Q05513,P41743,Positive
Q05513,P40337,Positive
Q05513,Q9NZH0,Negative
Q96AK3,Q5DX21,Negative
Q96AK3,Q6A163,Negative
Q96AK3,Q9P104,Negative
F8WBI6,Q01534,Negative
F8WBI6,Q6P4F2,Negative
F8WBI6,Q9Y530,Negative
F8WBI6,P41238,Negative
F8WBI6,Q6N075,Negative
Q01469,Q9C0D3,Negative
Q9P109,A6NJ64,Negative
Q9P109,Q96BM1,Negative
Q9P109,P33316,Negative
Q9P109,Q8WWN9,Negative
Q8N4S0,Q8NGQ5,Negative
A8MUA0,Q8NGP8,Negative
Q6UWV2,O60487,Positive
Q6UWV2,Q8WWZ1,Negative
Q6UWV2,A6NFF2,Negative
Q6UWV2,Q9NQV7,Negative
Q6UWV2,Q96C24,Negative
O75023,Q07869,Negative
Q6UWV6,K7EJ46,Negative
Q6UWV6,P25398,Negative
Q6PCE3,P55083,Negative
Q6PCE3,Q9BUW7,Negative
Q6PCE3,P46597,Negative
Q6PCE3,Q9NYZ1,Negative
P10398,P00966,Positive
P10398,Q9UNS2,Positive
P10398,Q12805,Positive
P10398,P01112,Positive
P10398,O43187,Positive
P10398,Q92985,Positive
P10398,P36507,Positive
P10398,Q8IXH7,Positive
P10398,O95848,Positive
P10398,Q96KB5,Positive
P10398,P14618,Positive
P10398,P53611,Positive
P10398,P62070,Positive
P10398,P31947,Positive
P10398,O43615,Positive
P10398,Q3ZCQ8,Positive
P10398,P58753,Positive
P10398,P62258,Positive
P10398,P63104,Positive
P10398,Q8NA61,Negative
P10398,Q8WW62,Negative
P10398,Q96NG5,Negative
P10398,A6NEV1,Negative
P04141,P32927,Positive
P04141,P50222,Positive
P04141,Q7Z4T9,Negative
P04141,P30566,Negative
P04141,Q9Y662,Negative
P04141,Q9Y2Q3,Negative
Q16670,O95273,Positive
Q16670,A1L4K1,Positive
Q16670,P60372,Positive
Q16670,P60370,Positive
Q16670,P60409,Positive
Q16670,P60411,Positive
